timestamp,src_ip,dst_port,decision
2025-07-01 14:23:39.594605,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.610226,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.627737,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.643661,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.663182,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.681666,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.698463,192.168.181.201,443,ALLOWED
2025-07-01 14:23:39.709508,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:39.732341,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:39.748975,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:39.761538,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:39.780369,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:39.794119,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:39.809859,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:39.888454,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:40.091774,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:40.163600,192.168.181.201,443,ALLOWED
